pid,trial,task,group,peak_N
044,SJ_pre1,SJ,Gluteus medius,2537.3600705000003
044,SJ_pre1,SJ,Gluteus minimus,1366.1866894
044,SJ_pre1,SJ,Hamstrings,4299.76228075
044,SJ_pre1,SJ,Adductors,3514.4268393200005
044,SJ_pre1,SJ,Triceps surae,3288.9624231099997
044,SJ_pre1,SJ,Iliopsoas,2101.82894899
044,SJ_pre1,SJ,Rectus femoris,2681.1358664
044,SJ_pre1,SJ,Tibialis anterior,1660.59196437
044,SJ_pre1,SJ,Piriformis,656.84441317
044,SJ_pre2,SJ,Vasti,5972.08898749
044,SJ_pre2,SJ,Gluteus maximus,1365.19603072
044,SJ_pre2,SJ,Gluteus medius,2473.5331671900003
044,SJ_pre2,SJ,Gluteus minimus,1389.14722362
044,SJ_pre2,SJ,Hamstrings,4514.12937066
044,SJ_pre2,SJ,Adductors,3371.5406734599997
044,SJ_pre2,SJ,Triceps surae,6233.52376224
044,SJ_pre2,SJ,Iliopsoas,2875.2681661200004
044,SJ_pre2,SJ,Rectus femoris,2707.46433441
044,SJ_pre2,SJ,Tibialis anterior,1640.9378303
044,SJ_pre2,SJ,Piriformis,615.93003559
044,SJ_pre3,SJ,Vasti,4683.7366072
044,SJ_pre3,SJ,Gluteus maximus,1390.30649495
044,SJ_pre3,SJ,Gluteus medius,2488.2317954600003
044,SJ_pre3,SJ,Gluteus minimus,1273.92285381
044,SJ_pre3,SJ,Hamstrings,4994.3436489000005
044,SJ_pre3,SJ,Adductors,2919.52674294
044,SJ_pre3,SJ,Triceps surae,4475.94686428
044,SJ_pre3,SJ,Iliopsoas,2970.00021776
044,SJ_pre3,SJ,Rectus femoris,2719.56076874
044,SJ_pre3,SJ,Tibialis anterior,1660.47657722
044,SJ_pre3,SJ,Piriformis,639.84672251
044,SJ_pre4,SJ,Vasti,5993.84905563
044,SJ_pre4,SJ,Gluteus maximus,1702.3347863899999
044,SJ_pre4,SJ,Gluteus medius,2628.68284252
044,SJ_pre4,SJ,Gluteus minimus,1417.55962477
044,SJ_pre4,SJ,Hamstrings,4872.67018495
044,SJ_pre4,SJ,Adductors,3846.24951912
044,SJ_pre4,SJ,Triceps surae,5807.0397867
044,SJ_pre4,SJ,Iliopsoas,2428.86799967
044,SJ_pre4,SJ,Rectus femoris,2728.9117655
044,SJ_pre4,SJ,Tibialis anterior,1666.47562201
044,SJ_pre4,SJ,Piriformis,687.47385093
044,SJ_pre5,SJ,Vasti,6176.292434870001
044,SJ_pre5,SJ,Gluteus maximus,1773.91198798
044,SJ_pre5,SJ,Gluteus medius,2568.33172039
044,SJ_pre5,SJ,Gluteus minimus,1366.1285967600002
044,SJ_pre5,SJ,Hamstrings,5197.493288989999
044,SJ_pre5,SJ,Adductors,3714.5045523500003
044,SJ_pre5,SJ,Triceps surae,5827.35017894
044,SJ_pre5,SJ,Iliopsoas,2915.21550835
044,SJ_pre5,SJ,Rectus femoris,2713.58804204
044,SJ_pre5,SJ,Tibialis anterior,1664.1776904
044,SJ_pre5,SJ,Piriformis,874.28258815
047,SJ_pre1,SJ,Vasti,6211.649091519999
047,SJ_pre1,SJ,Gluteus maximus,1383.85577027
047,SJ_pre1,SJ,Gluteus medius,2284.00574345
047,SJ_pre1,SJ,Gluteus minimus,1196.6966980700001
047,SJ_pre1,SJ,Hamstrings,3844.5791073100004
047,SJ_pre1,SJ,Adductors,3340.82642588
047,SJ_pre1,SJ,Triceps surae,7496.0252761
047,SJ_pre1,SJ,Iliopsoas,2204.34609413
047,SJ_pre1,SJ,Rectus femoris,2693.52225399
047,SJ_pre1,SJ,Tibialis anterior,1653.10649473
047,SJ_pre1,SJ,Piriformis,813.81178483
047,SJ_pre2,SJ,Vasti,5507.97226789
047,SJ_pre2,SJ,Gluteus maximus,1397.58503399
047,SJ_pre2,SJ,Gluteus medius,2159.56194292
047,SJ_pre2,SJ,Gluteus minimus,1176.70686875
047,SJ_pre2,SJ,Hamstrings,4391.763168410001
047,SJ_pre2,SJ,Adductors,2949.4266036599997
047,SJ_pre2,SJ,Triceps surae,7920.63887742
047,SJ_pre2,SJ,Iliopsoas,2954.80498442
047,SJ_pre2,SJ,Rectus femoris,2306.47076909
047,SJ_pre2,SJ,Tibialis anterior,1660.16519461
047,SJ_pre2,SJ,Piriformis,470.09839642
047,SJ_pre3,SJ,Vasti,5818.55525965
047,SJ_pre3,SJ,Gluteus maximus,1263.8220354300001
047,SJ_pre3,SJ,Gluteus medius,2035.1758377
047,SJ_pre3,SJ,Gluteus minimus,1117.43906865
047,SJ_pre3,SJ,Hamstrings,3902.2238343299996
047,SJ_pre3,SJ,Adductors,3060.7736704100002
047,SJ_pre3,SJ,Triceps surae,6260.973779659999
047,SJ_pre3,SJ,Iliopsoas,1970.5791742
047,SJ_pre3,SJ,Rectus femoris,2528.31825037
047,SJ_pre3,SJ,Tibialis anterior,1654.0313561
047,SJ_pre3,SJ,Piriformis,391.86255642
047,SJ_pre4,SJ,Vasti,5777.53053857
047,SJ_pre4,SJ,Gluteus maximus,1249.5800266099998
047,SJ_pre4,SJ,Gluteus medius,1994.14398348
047,SJ_pre4,SJ,Gluteus minimus,1123.81772733
047,SJ_pre4,SJ,Hamstrings,4334.11480508
047,SJ_pre4,SJ,Adductors,3023.2967451699997
047,SJ_pre4,SJ,Triceps surae,7717.04284869
047,SJ_pre4,SJ,Iliopsoas,2330.83927581
047,SJ_pre4,SJ,Rectus femoris,2513.67953232
047,SJ_pre4,SJ,Tibialis anterior,1651.01286119
047,SJ_pre4,SJ,Piriformis,442.00717478
047,SJ_pre5,SJ,Vasti,6027.33394569
047,SJ_pre5,SJ,Gluteus maximus,1342.30454208
047,SJ_pre5,SJ,Gluteus medius,2100.60752114
047,SJ_pre5,SJ,Gluteus minimus,1114.48309842
047,SJ_pre5,SJ,Hamstrings,4010.57559915
047,SJ_pre5,SJ,Adductors,3023.23860659
047,SJ_pre5,SJ,Triceps surae,7143.52183779
047,SJ_pre5,SJ,Iliopsoas,2233.44394611
047,SJ_pre5,SJ,Rectus femoris,2429.101769
047,SJ_pre5,SJ,Tibialis anterior,1646.31316176
047,SJ_pre5,SJ,Piriformis,501.51697478
054,SJ_pre1,SJ,Vasti,11769.947387749999
054,SJ_pre1,SJ,Gluteus maximus,3018.4450229699996
054,SJ_pre1,SJ,Gluteus medius,3344.06008746
054,SJ_pre1,SJ,Gluteus minimus,1472.6490026400002
